id,song_title,song_artist,label
T1_TRAIN_0001,No Me Enseñaste,Thalía,NM
T1_TRAIN_0002,Viajera,Frankie Ruiz,M
T1_TRAIN_0003,Te amaré toda la vida,Javier Solís,NM
T1_TRAIN_0004,Mi lado Oscuro,Pozo Musikandante (Ft. Hijo Pródigo aka J-Pro),M
T1_TRAIN_0005,Me Enamoré de Ti,Maluma,M
T1_TRAIN_0006,Dejame intentar,Ulises Bueno,M
T1_TRAIN_0007,El amor es libertad,Cony la Tuquera,NM
T1_TRAIN_0008,Lento,Daniel Santacruz,NM
T1_TRAIN_0009,La Clave de Oro,Celia Cruz y La Sonora Matancera,NM
T1_TRAIN_0010,Amárrate a una escoba y vuela lejos,Caifanes,NM
T1_TRAIN_0011,Mentiras,Daniela Romo,NM
T1_TRAIN_0012,TUS LÁGRIMAS,Mora & Sech,M
T1_TRAIN_0013,La Cita,Galy Galiano,NM
T1_TRAIN_0014,Bendita tu Eres (Diosa),"Xinola, Natalie Garcia",NM
T1_TRAIN_0015,Mendigo De Amor,Camilo Sesto,NM
T1_TRAIN_0016,No Voy a Llorar,JXHN P & KolomB (Ft. Rojuu),NM
T1_TRAIN_0017,Adictiva,Daddy Yankee & Anuel AA,M
T1_TRAIN_0018,Booty,"C. Tangana, Becky G & Alizzz",NM
T1_TRAIN_0019,Amor Secreto,Los Ángeles de Charly,NM
T1_TRAIN_0020,Me Vuelvo Loco,Abraham Mateo & CNCO,NM
T1_TRAIN_0021,Vuelve,Ricky Martin,NM
T1_TRAIN_0022,Día Común - Doble Vida,Soda Stereo,NM
T1_TRAIN_0023,La Gitanilla,Banda El Recodo de Cruz Lizárraga,NM
T1_TRAIN_0024,Si No Le Contesto,Plan B,M
T1_TRAIN_0025,Así O Más Claro,Jorge Medina,NM
T1_TRAIN_0026,Soy Peor,Bad Bunny,M
T1_TRAIN_0027,Te Quedas Sin Mí,María León (Ft. Yuri (MEX)),NM
T1_TRAIN_0028,Silencio,Nelly Furtado (Ft. Josh Groban),NM
T1_TRAIN_0029,La Fundillo Loco,El Gran Martín Elías,M
T1_TRAIN_0030,Hoy Quiero Soñar,Cristian Castro,NM
T1_TRAIN_0031,A Escondidas,$kyhook & Morad,M
T1_TRAIN_0032,Falsas Palabras,Ken-Y,NM
T1_TRAIN_0033,Nena Trampa,Cazzu,NM
T1_TRAIN_0034,La Peineta,Tierra Cali,NM
T1_TRAIN_0035,El Daño Que Me Haces,Olga Tañón,NM
T1_TRAIN_0036,Cascos Ligeros,Alejandro Fernández,M
T1_TRAIN_0037,Sorpresas,Rubén Blades y Seis del Solar,M
T1_TRAIN_0038,Almas al Desnudo,Sólo los Solo (Ft. Tremendo),M
T1_TRAIN_0039,La calandria,Ramón Ayala y Sus Bravos Del Norte,NM
T1_TRAIN_0040,Pa’ Que Le De (Remix),"Bad Bunny (Ft. Brray, Joyce Santana, Álvaro Díaz, Myke Towers & Papi Sousa)",M
T1_TRAIN_0041,MUJER FINA,"Jere Klein, Lucky Brown & Adan La Amenaza",M
T1_TRAIN_0042,La Sopa en Botella,Celia Cruz & Johnny Pacheco,NM
T1_TRAIN_0043,Te Conozco,Ricardo Arjona,M
T1_TRAIN_0044,Nos Faltó Tiempo,Ricardo Darín,NM
T1_TRAIN_0045,Ni Parientes Somos,Los Tigres Del Norte,NM
T1_TRAIN_0046,No Tiene la Culpa,Romeo Santos,NM
T1_TRAIN_0047,Sigo Chambeando,Fuerza Regida,NM
T1_TRAIN_0048,Pa’ Romper La Discoteca,Farruko (Ft. Daddy Yankee & Yomo),M
T1_TRAIN_0049,Las Mujeres,"Cosculluela, Mueka & Jungl",NM
T1_TRAIN_0050,El Combo Me Llama (Remix),"Benny Benni (Ft. Christian Ponce, Cosculluela, Daddy Yankee, D.OZi, Farruko & Pusho)",M
T1_TRAIN_0051,Pero Me Acuerdo de Ti,Christina Aguilera,NM
T1_TRAIN_0052,Mala Mía,Maluma,M
T1_TRAIN_0053,Noviembre Sin Ti,Reik,NM
T1_TRAIN_0054,Clave Privada,Los Tucanes De Tijuana,NM
T1_TRAIN_0055,La Bebe (David Guetta Remix) [Extended Version],"Yng Lvcas, Peso Pluma & David Guetta",M
T1_TRAIN_0056,Travesuras,Nicky Jam,M
T1_TRAIN_0057,Los Calientes,Babasónicos,M
T1_TRAIN_0058,Niebla,mvrk & Sneaky wh,NM
T1_TRAIN_0059,Necesito Decirte,Conjunto Primavera,NM
T1_TRAIN_0060,Si supiera,Willie Gonzalez,NM
T1_TRAIN_0061,La Fama,Héctor Lavoe,NM
T1_TRAIN_0062,Sueño Contigo,Draco Rosa,M
T1_TRAIN_0063,Esa Mujer,Tony Vega,NM
T1_TRAIN_0064,Te Quiero Pa’ Mí,Don Omar & Zion & Lennox,M
T1_TRAIN_0065,No Drama,Becky G & Ozuna,M
T1_TRAIN_0066,Guitarra,Yoskar Sarante,NM
T1_TRAIN_0067,Te Quise Tanto,Paulina Rubio,NM
T1_TRAIN_0068,Pobre Diabla,Don Omar,M
T1_TRAIN_0069,Te Dejare de Amar,Descemer Bueno (Ft. Reyli Barba),NM
T1_TRAIN_0070,La Dueña del Swing,Los Hermanos Rosario,M
T1_TRAIN_0071,Azuquita pa’l cafe,El Gran Combo de Puerto Rico,M
T1_TRAIN_0072,Cámara Lenta,Paulo Londra,M
T1_TRAIN_0073,Dale Pascual,Los Enanitos Verdes,NM
T1_TRAIN_0074,El Mensaje,Blessd,M
T1_TRAIN_0075,Chulin Culin Chunfly,Voltio (Ft. Calle 13),M
T1_TRAIN_0076,La Escuelita,Banda Los Recoditos,M
T1_TRAIN_0077,Una Mañana,José José,NM
T1_TRAIN_0078,Volver Al Pasado,Caronte,NM
T1_TRAIN_0079,En las cantinas,Los Rieleros Del Norte,NM
T1_TRAIN_0080,Juana Peña,Willie Colón & Héctor Lavoe,NM
T1_TRAIN_0081,La Morena,Oro Sólido,M
T1_TRAIN_0082,No Dejes De Quererme,Pablo Montero,NM
T1_TRAIN_0083,3 de Abril,Anuel AA,M
T1_TRAIN_0084,Sueños Rotos,La Quinta Estación,NM
T1_TRAIN_0085,No Podrás,Cristian Castro,NM
T1_TRAIN_0086,Si estuvieras aquí,La India,NM
T1_TRAIN_0087,La traición,Sharif (Ft. Bombony Montana),NM
T1_TRAIN_0088,Hawái (Remix),Maluma & The Weeknd,NM
T1_TRAIN_0089,A la Noche,CHITA,NM
T1_TRAIN_0090,El Macho Prieto,Larry hernndez,NM
T1_TRAIN_0091,La Cima del Cielo,Ricardo Montaner,NM
T1_TRAIN_0092,Mi Estrella Blanca,Fondo Flamenco,NM
T1_TRAIN_0093,Papa Dios Me Dijo,Secreto El Famoso Biberón,NM
T1_TRAIN_0094,Perra Vida,Qué Pasa!,NM
T1_TRAIN_0095,Quise olvidarte,Luz Casal,NM
T1_TRAIN_0096,Usted,Luis Miguel,M
T1_TRAIN_0097,Bella Sin Alma,Riccardo Cocciante,M
T1_TRAIN_0098,Trátame Suavemente,Soda Stereo,NM
T1_TRAIN_0099,En Un Sólo Dia,Morat,NM
T1_TRAIN_0100,Nido de amor,Michael Stuart,M
T1_TRAIN_0101,Bajo presión,Khan,NM
T1_TRAIN_0102,Miseria de Amor,Américo,NM
T1_TRAIN_0103,La Suavecita,Valentín Elizalde,NM
T1_TRAIN_0104,CENIZAS QUEDAN,Myke Towers,M
T1_TRAIN_0105,Cumbia tribalera (feat. banda la trakalosa & violento),El Pelon Del Mikrophone,NM
T1_TRAIN_0106,Que Sería,Anuel AA,M
T1_TRAIN_0107,Desacátate,La Materialista (Ft. Yomel El Meloso),M
T1_TRAIN_0108,Caretas,Ismael Miranda,NM
T1_TRAIN_0109,Amor de Lejos,Raulin Rodriguez,NM
T1_TRAIN_0110,Otra vez me equivoqué (2001),Pesado,NM
T1_TRAIN_0111,Amarga Navidad,José Alfredo Jiménez,NM
T1_TRAIN_0112,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",M
T1_TRAIN_0113,Un Get,Ozuna,M
T1_TRAIN_0114,Duele Saber,Juan Botello & Marcelino Mendoza,NM
T1_TRAIN_0115,Eres Mi Droga,Intocable,NM
T1_TRAIN_0116,Estés Donde Estés,Ha-Ash,NM
T1_TRAIN_0117,Ay! Papacito,Grupo Límite,NM
T1_TRAIN_0118,Qué triste estoy,Vicente Fernández,NM
T1_TRAIN_0119,Todos Americanos,Los Jaivas,NM
T1_TRAIN_0120,Venezia (En Vivo),Hombres G & Los Enanitos Verdes,NM
T1_TRAIN_0121,Por Tu Maldito Amor,Vicente Fernández,NM
T1_TRAIN_0122,Los Botones Azules,Junior H & Luis R Conriquez,NM
T1_TRAIN_0123,Olvídame y pega la vuelta,Pimpinela,NM
T1_TRAIN_0124,Mal Bicho,Los Fabulosos Cadillacs (Ft. Mick Jones),NM
T1_TRAIN_0125,Dime a Ve,JHAYCO,M
T1_TRAIN_0126,Sabiendo que el final,TheDaMar,NM
T1_TRAIN_0127,Los sanguinarios del m1,El movimiento alterado,NM
T1_TRAIN_0128,Si Te Vas Conmigo,Lunay,NM
T1_TRAIN_0129,Cuando Te Entregues A Él,Banda Los Recoditos,NM
T1_TRAIN_0130,Sientate ahi,Oscar D'León,NM
T1_TRAIN_0131,La colorada,Pibes Chorros,M
T1_TRAIN_0132,Chilango Blues,Mon Laferte,NM
T1_TRAIN_0133,Gabino Barrera,Antonio Aguilar,NM
T1_TRAIN_0134,Eres Divina,Patrulla 81,NM
T1_TRAIN_0135,La Chapa Que Vibran,La Materialista,M
T1_TRAIN_0136,Como Me Haces Falta,Los Bukis,NM
T1_TRAIN_0137,Cómo Olvidarte,Yamal and George,NM
T1_TRAIN_0138,El Guero,Línea Especial,NM
T1_TRAIN_0139,Chingo a su madre el buey,Los Inquietos del Norte,M
T1_TRAIN_0140,Las cuatro camionetas,Beto quintanilla el mero leon del corrido,NM
T1_TRAIN_0141,Esta Nochecita,Próxima Parada,NM
T1_TRAIN_0142,Plástico,Willie Colón & Rubén Blades,M
T1_TRAIN_0143,Cuatro Babys,"Maluma (Ft. Bryant Myers, Juhn, Noriel & Trap Capos)",M
T1_TRAIN_0144,Yo Te Daría Mi Vida,Banda El Recodo de Cruz Lizárraga,M
T1_TRAIN_0145,Vente Vamos A Bella^%#...,Las Guanábanas,M
T1_TRAIN_0146,A veces Lloro,Los Del Limit,NM
T1_TRAIN_0147,Doble Filo,Romeo Santos,M
T1_TRAIN_0148,Me Persigue Tu Sombra,Chalino Sánchez,NM
T1_TRAIN_0149,Sin Tu Amor,Fifth Harmony,NM
T1_TRAIN_0150,Ruinas,C.R.O (Bardero$),M
T1_TRAIN_0151,Valió La Pena,Marc Anthony,NM
T1_TRAIN_0152,Adiós Amor,Christian Nodal,NM
T1_TRAIN_0153,Como Han Pasado Los Anos,Julio Iglesias,NM
T1_TRAIN_0154,Ya Para Qué,Greeicy,NM
T1_TRAIN_0155,Bajo Mundo,Bulin 47 & Breyco En Producidera,M
T1_TRAIN_0156,Sali Porque Sali,Cheo Feliciano,NM
T1_TRAIN_0157,Juegos Prohibidos,Nicky Jam,M
T1_TRAIN_0158,La Entalladita,Chalino Sánchez,M
T1_TRAIN_0159,La Cola de Motora,Don Miguelo,M
T1_TRAIN_0160,Yo Te Voy A Amar,*NSYNC,NM
T1_TRAIN_0161,Intro (A.D.R.O.M.I.C.F.M.S.),Yung Beef,NM
T1_TRAIN_0162,Con Olor A Hierba,Emmanuel,NM
T1_TRAIN_0163,Fiesta en la galaxia,Lil Moss (Ft. Recycled J),NM
T1_TRAIN_0164,La Traidora,Pedro Infante,M
T1_TRAIN_0165,Que Se Sienta,Héctor “El Father” (Ft. Yomo),M
T1_TRAIN_0166,Lluvia,Eddie Santiago,M
