id,song_title,song_artist,label
T2_TRAIN_0001,Jamás,Camilo Sesto,NR
T2_TRAIN_0002,Que Te Vaya Bonito,José Alfredo Jiménez,NR
T2_TRAIN_0003,Ella (Me Canse De Rogarle),Cartel de Santa,H
T2_TRAIN_0004,Te Conozco,Ricardo Arjona,S
T2_TRAIN_0005,El Hombre Divertido,Wilfrido Vargas,NR
T2_TRAIN_0006,Ahora Dice (Real Hasta La Muerte Remix),"Chris Jedi, J Balvin & Ozuna (Ft. Anuel AA, Arcángel, Cardi B & Offset)",S
T2_TRAIN_0007,En Remolinos,Soda Stereo,NR
T2_TRAIN_0008,Hermanita,Aventura,V
T2_TRAIN_0009,Como Quisiera Olvidarte,Raulin Rodriguez,V
T2_TRAIN_0010,El Columpio,Los Rieleros Del Norte,V
T2_TRAIN_0011,Yo Tomo,Bersuit Vergarabat,V
T2_TRAIN_0012,Métele Sazón,Tego Calderón,S
T2_TRAIN_0013,Mi Tenampa,Pedro Infante,NR
T2_TRAIN_0014,Krippy Kush,"Rvssian, Farruko & Bad Bunny",H
T2_TRAIN_0015,Safaera,"Bad Bunny, Jowell & Randy & Ñengo Flow",S
T2_TRAIN_0016,Abuso de Autoridad,Three souls in my mind,NR
T2_TRAIN_0017,Sigo Fresh,Fuego & Duki,H
T2_TRAIN_0018,Cheque en blanco,Natos y Waor (Ft. Zetazen),S
T2_TRAIN_0019,Ya no quiero,Jesse & Joy,NR
T2_TRAIN_0020,5 Letras,Alexis y Fido,S
T2_TRAIN_0021,El Mechón,Banda MS de Sergio Lizárraga,NR
T2_TRAIN_0022,Sobredosis,Romeo Santos (Ft. Ozuna),S
T2_TRAIN_0023,TUS LÁGRIMAS,Mora & Sech,S
T2_TRAIN_0024,Por Qué No Te Callas,Dirty Suc,V
T2_TRAIN_0025,Tocarte Toa,"RKM & Ken-Y (Ft. Carlitos Way (PR), La India, Nicky Jam & Polakan)",S
T2_TRAIN_0026,Yo Te Daría Mi Vida,Banda El Recodo de Cruz Lizárraga,V
T2_TRAIN_0027,Despídete,Dulce María,NR
T2_TRAIN_0028,La Gitanilla,Banda El Recodo de Cruz Lizárraga,NR
T2_TRAIN_0029,Sexto Sentido,Gigolo Y La Exce (Ft. Bad Bunny),S
T2_TRAIN_0030,Nota de Amor,Wisin (Ft. Carlos Vives & Daddy Yankee),S
T2_TRAIN_0031,Trucho,Rochy RD (Ft. Kiko El Crazy),NR
T2_TRAIN_0032,Si No Le Contesto,Plan B,S
T2_TRAIN_0033,Voy A Llenarte Toda,José José,NR
T2_TRAIN_0034,Tú No Metes Cabra,Bad Bunny,NR
T2_TRAIN_0035,Somos de Calle,Daddy Yankee,NR
T2_TRAIN_0036,Inolvidable,Ovy On The Drums & Beéle,NR
T2_TRAIN_0037,Zun Zun Rompiendo Caderas,Wisin & Yandel,S
T2_TRAIN_0038,Ella Ya no cree en el Amor (cover),Wilmar Ayala,NR
T2_TRAIN_0039,Nido de amor,Michael Stuart,S
T2_TRAIN_0040,Tu Circo,Eiza,NR
T2_TRAIN_0041,Si Pudiera Amarte,Myriam Hernández,NR
T2_TRAIN_0042,Choca,Plan B,S
T2_TRAIN_0043,El Polvito Del Amor,Amar Azul,S
T2_TRAIN_0044,A Escondidas,$kyhook & Morad,S
T2_TRAIN_0045,Que Se Sienta,Héctor “El Father” (Ft. Yomo),S
T2_TRAIN_0046,El Adios,Mda & IAMTOMMY,V
T2_TRAIN_0047,El 24,El Tigrillo Palma,NR
T2_TRAIN_0048,El Teléfono,Héctor “El Father” & Wisin & Yandel,S
T2_TRAIN_0049,Si Te Vas,Shakira,H
T2_TRAIN_0050,Punto Final,Gepe,NR
T2_TRAIN_0051,Usted,Luis Miguel,H
T2_TRAIN_0052,Un Año Más,Ana Torroja,NR
T2_TRAIN_0053,Prendemos,"Fino Como El Haze, JHAYCO & Lunay",S
T2_TRAIN_0054,Que Bonita Es Mi Tierra,Patrulla 81,NR
T2_TRAIN_0055,Vete,Bad Bunny,S
T2_TRAIN_0056,La Chucha,Banda Carnaval,NR
T2_TRAIN_0057,Tú Te Imaginas,De La Ghetto,S
T2_TRAIN_0058,El Pelo Chino,Banda MS de Sergio Lizárraga,NR
T2_TRAIN_0059,Estamos Melos,Bomby (Ft. Donkirap),S
T2_TRAIN_0060,Capullo Y Sorullo,La Sonora Dinamita,NR
T2_TRAIN_0061,Si Se Da,Myke Towers & Farruko,V
T2_TRAIN_0062,Relación (Remix),"Sech, Daddy Yankee & J Balvin (Ft. Farruko & ROSALÍA)",V
T2_TRAIN_0063,Chambonea,Nicky Jam,S
T2_TRAIN_0064,AM Remix,"Nio García, J Balvin & Bad Bunny",S
T2_TRAIN_0065,Tengo,Emmanuel,NR
T2_TRAIN_0066,Te quiero para mí,Trigo limpio,V
T2_TRAIN_0067,Sin Tu Calor,Xenon (Ft. Gema Tomás),NR
T2_TRAIN_0068,Piedra Angular,Tino el Pingüino,S
T2_TRAIN_0069,Como Yo Nadie Te Ha Amado (This Ain’t A Love Song),Bon Jovi,V
T2_TRAIN_0070,Hablamos Mañana,"Bad Bunny, Duki & Pablo Chill-E",S
T2_TRAIN_0071,Voló La Paloma,Los Palmeras,NR
T2_TRAIN_0072,50 Sombras de Austin,Arcángel & DJ Luian,S
T2_TRAIN_0073,Dímelo (I Need To Know),Marc Anthony,NR
T2_TRAIN_0074,"Sí, sí",Los Ronaldos,V
T2_TRAIN_0075,Hacerte de To’,De La Ghetto,S
T2_TRAIN_0076,Taboga,Oscar D'León,NR
T2_TRAIN_0077,Palabrutas,Magnatiz,S
T2_TRAIN_0078,Alguien Como Tú,Jósean Log,S
T2_TRAIN_0079,El Manual,"Ergo Pro, Ill Pekeño & Dano",V
T2_TRAIN_0080,Quiero morir en tu veneno,Alejandro Sanz,NR
T2_TRAIN_0081,Una Copa Más,Pibes Chorros,NR
T2_TRAIN_0082,Dime Que Sí,Jay Wheeler & DJ Nelson,NR
T2_TRAIN_0083,Sabrá Dios,Andrés Cepeda,NR
T2_TRAIN_0084,Llorarás,Oscar D'León,V
T2_TRAIN_0085,Flotao,"Sayian Jimmy, Standly, Yishark, Tobal Mj, Benji la Maldita Escritura De Oro & Nysix Music",V
T2_TRAIN_0086,Una Aventura,Lucas Arnau & J Alvarez,S
T2_TRAIN_0087,En Que Fallé,Los Tigres Del Norte,NR
T2_TRAIN_0088,Que Paso?,Gren4up (Ft. Brayan Trampa & Various Artists),S
T2_TRAIN_0089,Cuando Pase el Temblor,Soda Stereo,NR
T2_TRAIN_0090,Disfruto Lo Malo,Natanael Cano & Junior H,H
T2_TRAIN_0091,Sin Pijama,Becky G & NATTI NATASHA,S
T2_TRAIN_0092,Sexo Sin Título,Maluma (Ft. Jay Wheeler & Lenny Tavárez),S
T2_TRAIN_0093,Muevan Las Industrias,Los Prisioneros,NR
T2_TRAIN_0094,Himno De Mi Corazón,Los Abuelos De La Nada,NR
T2_TRAIN_0095,El senor de la montana,Los Canelos de Durango,NR
T2_TRAIN_0096,P FKN R,"Bad Bunny, Kendo Kaponi & Arcángel",S
T2_TRAIN_0097,Juegos Prohibidos,Nicky Jam,S
T2_TRAIN_0098,El Juidero,Chimbala & Bulin 47,H
T2_TRAIN_0099,Confesión,La Arrolladora Banda El Limón De René Camacho,S
T2_TRAIN_0100,Te Quiero Pa’ Mí,Don Omar & Zion & Lennox,S
T2_TRAIN_0101,Uno Entre Mil,Mijares,NR
T2_TRAIN_0102,Pelo Suelto,Gloria Trevi,NR
T2_TRAIN_0103,Ay Mami,"Tito ""El Bambino"" (Ft. Bryant Myers)",S
T2_TRAIN_0104,Enséñame a Olvidar,Aventura,NR
T2_TRAIN_0105,Mira Niñita,Los Jaivas,NR
T2_TRAIN_0106,Todo Comienza En La Disco,"Wisin, Daddy Yankee & Yandel",S
T2_TRAIN_0107,El Perro (Cilantro’s Song),American Dad Cast,NR
T2_TRAIN_0108,Hello Cotto,Duki,NR
